iter	Logloss
135	0.5166930767
136	0.5162383244
137	0.5159029988
138	0.5156338053
139	0.5152215364
140	0.5150738423
141	0.5148449515
142	0.5144946384
143	0.5142356234
144	0.5139119473
145	0.5135414932
146	0.5131927076
147	0.5127762778
148	0.5125841305
149	0.5123220193
150	0.5120012903
151	0.5116910844
152	0.5113666265
153	0.5111021185
154	0.5108424761
155	0.5106060864
156	0.5100220786
157	0.5096854517
158	0.5093801011
159	0.5089577
160	0.5085554861
161	0.5080803922
162	0.507756783
163	0.507150042
164	0.5067199774
165	0.5062026624
166	0.5058657475
167	0.5056513864
168	0.5051051302
169	0.5047934277
170	0.504596816
171	0.5043047555
172	0.5039949354
173	0.50360918
174	0.5032316693
175	0.5026511898
176	0.5023597157
177	0.5018202127
178	0.501309872
179	0.5009150542
180	0.5004135907
181	0.5000303041
182	0.4997601129
183	0.4994132818
184	0.4990923419
185	0.4986844859
186	0.4983748612
187	0.4979977619
188	0.4974210628
189	0.4969966352
190	0.4967531941
191	0.4963705092
192	0.495755323
193	0.4954623419
194	0.4951464681
195	0.4947519075
196	0.4943869001
197	0.4938389518
198	0.4935421801
199	0.4931902314
200	0.4924934061
201	0.4923163183
202	0.4919111728
203	0.4915953505
204	0.4910829627
205	0.4907023043
206	0.4902664793
207	0.4896423283
208	0.489181399
209	0.4888839947
210	0.4886288063
211	0.4883089002
212	0.4878927841
213	0.4875793894
214	0.4872582541
215	0.4867887355
216	0.48632328
217	0.4859276959
218	0.4855483799
219	0.4851796642
220	0.4845059424
221	0.4840809594
222	0.4837867233
223	0.4834646931
224	0.4831476981
225	0.4826623228
226	0.482189641
227	0.4818755777
228	0.4815317657
229	0.4811881131
230	0.480667491
231	0.480207364
232	0.479947881
233	0.4796431527
234	0.479172158
235	0.4788069551
236	0.478535262
237	0.478146755
238	0.4778082457
239	0.477502535
240	0.4771490639
241	0.4768795207
242	0.4765278344
243	0.4762647202
244	0.4759230581
245	0.4754424095
246	0.4750482397
247	0.4746433771
248	0.4743971946
249	0.4739116393
250	0.4735680022
251	0.4732469697
252	0.4729025611
253	0.4725792861
254	0.4720946515
255	0.4717569445
256	0.4715166562
257	0.4711762953
258	0.4708624017
259	0.4705138425
260	0.4702598165
261	0.4698422397
262	0.4693934279
263	0.4691602219
264	0.468812969
265	0.4685040489
266	0.4680562658
267	0.4678363139
268	0.4675842373
269	0.4672387434
270	0.4668756133
271	0.4665331694
272	0.4660618866
273	0.4657317814
274	0.4653619959
275	0.4646526879
276	0.4642622265
277	0.4638727885
278	0.4635304423
279	0.4631488993
280	0.4629202451
281	0.4626361207
282	0.4623367311
283	0.4620216237
284	0.4617249908
285	0.4614093228
286	0.4611383086
287	0.4608807646
288	0.4606732389
289	0.4602896643
290	0.4597837622
291	0.4595417663
292	0.4591614731
293	0.4588011821
294	0.4585106132
295	0.4581483677
296	0.4576874744
297	0.457266179
298	0.4568509939
299	0.4565792854
300	0.4562407658
301	0.455878474
302	0.4554567261
303	0.4551360691
304	0.4546908832
305	0.4543678192
306	0.4539695091
307	0.4536235832
308	0.453251581
309	0.4530040098
310	0.4526991477
311	0.4523525635
312	0.4520021064
313	0.4514516842
314	0.451186199
315	0.4508705464
316	0.4505345521
317	0.4500783906
318	0.4497429107
319	0.4493772604
320	0.4491691072
321	0.4487958191
322	0.4485970112
323	0.4483901696
324	0.4479478074
325	0.4475662747
326	0.447205279
327	0.4469071187
328	0.4464140336
329	0.4462160692
330	0.4458991257
331	0.4455995252
332	0.4452807558
333	0.4450081729
334	0.4447022564
335	0.4444836779
336	0.4442650118
337	0.4440756779
338	0.4437554992
339	0.443549393
340	0.4433424639
341	0.4430390214
342	0.4427062932
343	0.4425300385
344	0.4421396954
345	0.4417859774
346	0.4416387257
347	0.4413758739
348	0.4412166949
349	0.4409674984
350	0.4406730669
351	0.4404156618
352	0.4401282817
353	0.4398419355
354	0.4395909954
355	0.4392755485
356	0.4390648392
357	0.4387717501
358	0.4385417123
359	0.438138907
360	0.4378595555
361	0.4373933029
362	0.437132529
363	0.4368739563
364	0.4364772818
365	0.4361662016
366	0.4358903373
367	0.4356768299
368	0.4354207621
369	0.4352037059
370	0.4348787543
371	0.4346472558
372	0.4342262228
373	0.4339921887
374	0.433734655
375	0.4334731301
376	0.4330603777
377	0.4329144632
378	0.4324815132
379	0.4322761426
380	0.4319745774
381	0.4316277925
382	0.4312659688
383	0.4309589466
384	0.43053186
385	0.4303268853
386	0.4300860569
387	0.4299297736
388	0.4296779952
389	0.4294502771
390	0.4291578463
391	0.4289088659
392	0.4285943551
393	0.4282404571
394	0.4280027096
395	0.4278451558
396	0.4275291895
397	0.4272928203
398	0.4268969996
399	0.4265928679
400	0.4261923154
401	0.4259914708
402	0.4254733534
403	0.4251554481
404	0.4248506837
405	0.424457877
406	0.424103223
407	0.4238490992
408	0.4235917919
409	0.4233805733
410	0.4231123159
411	0.4228571789
412	0.4226063624
413	0.4223773275
414	0.4220824383
415	0.4217020988
416	0.4213277255
417	0.4210955275
418	0.4209097013
419	0.4206295269
420	0.4204514515
421	0.4202470787
422	0.4198667083
423	0.4196349321
424	0.4194499288
425	0.4192859768
426	0.4190062705
427	0.4187920586
428	0.4185169915
429	0.4181646571
430	0.4178151926
431	0.4175441887
432	0.4171159294
433	0.4169086454
434	0.4166292888
435	0.4163137082
436	0.4159714083
437	0.4155038236
438	0.4152254545
439	0.4148809276
440	0.4146139509
441	0.4144167323
442	0.41400937
443	0.4138300757
444	0.4136086684
445	0.4133719237
446	0.4132276448
447	0.4130240743
448	0.4127066832
449	0.4124054163
450	0.4121303287
451	0.4118548553
452	0.4115609741
453	0.4112673141
454	0.4110842292
455	0.410741307
456	0.4104346602
457	0.4101371736
458	0.4099559609
459	0.4097632581
460	0.409511814
461	0.4092985278
462	0.409008967
463	0.4086983239
464	0.4083605038
465	0.4080924522
466	0.4078169016
467	0.4074754504
468	0.4071793576
469	0.4069729068
470	0.4067580057
471	0.406535832
472	0.4063625193
473	0.4061276159
474	0.4059290807
475	0.4056785264
476	0.405485731
477	0.4052142436
478	0.4050062962
479	0.4047836544
480	0.4045922734
481	0.4042980168
482	0.4041331031
483	0.4039844318
484	0.4036977203
485	0.4034317517
486	0.4031108581
487	0.4028861179
488	0.4026113748
489	0.4023600336
490	0.4021615035
491	0.4016900253
492	0.4014402373
493	0.4012447932
494	0.4009416387
495	0.400736268
496	0.400571524
497	0.4002571726
498	0.3999536324
499	0.3997962947
