iter	Logloss
0	0.6835900006
1	0.6737697695
2	0.6653161715
3	0.6578562785
4	0.6497465233
5	0.6448571223
6	0.6384610422
7	0.6325052566
8	0.6273807671
9	0.6240051635
10	0.6201054403
11	0.6163847491
12	0.6129217047
13	0.609632508
14	0.6065942924
15	0.6031103304
16	0.6007220592
17	0.5981525136
18	0.596098236
19	0.5932667746
20	0.5911410261
21	0.5895276911
22	0.5876868436
23	0.5862458595
24	0.585119309
25	0.5837131808
26	0.5825269478
27	0.5815281047
28	0.5802492261
29	0.5789017157
30	0.5775064912
31	0.576079183
32	0.5752548715
33	0.5737821072
34	0.5726809233
35	0.5716495078
36	0.5710836507
37	0.5698996499
38	0.5678463701
39	0.5669674422
40	0.5660875577
41	0.5654184083
42	0.564081205
43	0.5632928758
44	0.5626548072
45	0.5619640561
46	0.5613091484
47	0.560597603
48	0.5599054324
49	0.5582290255
50	0.5569548169
51	0.5564617576
52	0.5560498384
53	0.5554832458
54	0.5547511119
55	0.5540917707
56	0.5533524466
57	0.5516233521
58	0.5510778417
59	0.5506667969
60	0.5502319799
61	0.5496164491
62	0.5490652759
63	0.5482501709
64	0.5479866761
65	0.547109137
66	0.5468761418
67	0.546366012
68	0.5458606139
69	0.5451178644
70	0.5443891868
71	0.543885306
72	0.5435546556
73	0.5426686043
74	0.5420997127
75	0.5415808392
76	0.5410858717
77	0.540736613
78	0.5400285034
79	0.5397416685
80	0.5393125914
81	0.5386677902
82	0.5381212717
83	0.5373527081
84	0.5368631771
85	0.5364372579
86	0.5358785654
87	0.5353451314
88	0.5349131843
89	0.5344999536
90	0.5341852474
91	0.5338933412
92	0.5334997578
93	0.5330917938
94	0.5326553619
95	0.5325492923
96	0.53212739
97	0.5317041454
98	0.5308543541
99	0.5302322862
100	0.5293602709
101	0.5288944143
102	0.5284186106
103	0.5279536027
104	0.5273153489
105	0.5270190298
106	0.5265212387
107	0.5262661789
108	0.5258219806
109	0.5255275645
110	0.5251933447
111	0.524847964
112	0.5245125046
113	0.5242486396
114	0.5237831482
115	0.5235013537
116	0.5230351833
117	0.5223942962
118	0.5220989903
119	0.5220649368
120	0.5217014312
121	0.5213537977
122	0.5209216141
123	0.5207595343
124	0.520467479
125	0.5200623078
126	0.5197569726
127	0.5195076835
128	0.5191140693
129	0.5187273984
130	0.5184581947
131	0.5180565003
132	0.5176267134
133	0.5173593664
134	0.5169987308
