iter	Passed	Remaining
412	3832	807
413	3841	798
414	3849	788
415	3857	778
416	3866	769
417	3874	760
418	3882	750
419	3891	741
420	3899	731
421	3907	722
422	3916	712
423	3924	703
424	3933	694
425	3942	684
426	3951	675
427	3961	666
428	3970	657
429	3979	647
430	3987	638
431	3995	628
432	4003	619
433	4011	610
434	4020	600
435	4028	591
436	4037	582
437	4046	572
438	4054	563
439	4062	553
440	4070	544
441	4079	535
442	4088	525
443	4095	516
444	4104	507
445	4112	497
446	4120	488
447	4128	479
448	4136	469
449	4145	460
450	4153	451
451	4163	442
452	4171	432
453	4180	423
454	4187	414
455	4197	404
456	4205	395
457	4213	386
458	4220	377
459	4229	367
460	4236	358
461	4246	349
462	4255	340
463	4263	330
464	4275	321
465	4288	312
466	4296	303
467	4305	294
468	4313	285
469	4322	275
470	4329	266
471	4340	257
472	4348	248
473	4356	238
474	4365	229
475	4374	220
476	4383	211
477	4392	202
478	4400	192
479	4408	183
480	4416	174
481	4424	165
482	4432	156
483	4440	146
484	4449	137
485	4458	128
486	4465	119
487	4474	110
488	4484	100
489	4492	91
490	4501	82
491	4510	73
492	4519	64
493	4527	54
494	4539	45
495	4551	36
496	4562	27
497	4572	18
498	4583	9
499	4593	0
